subway,price_2022-07-14,price_2022-07-17
Смоленская,"39,021,111.11","40,952,415.03"
Арбатская,,"41,245,000.00"
ЦСКА,"24,192,675.24","41,481,441.95"
Минская,"41,069,032.00","41,743,366.80"
Белорусская,"43,494,098.26","41,776,238.31"
Филёвский парк,,"42,000,000.00"
Новослободская,,"42,574,644.00"
Тургеневская,"43,000,000.00","43,000,000.00"
Сокол,"37,452,376.50","43,018,768.00"
Парк Победы,"44,676,570.09","44,760,611.83"
Кутузовская,"25,020,000.00","44,968,779.90"
Международная,"34,085,120.64","44,974,926.25"
Новокузнецкая,"41,000,000.00","45,500,000.00"
Раменки,"36,258,000.00","46,229,266.25"
Выставочная,"47,000,000.00","46,947,368.42"
Пушкинская,"42,333,333.33","47,125,000.00"
Деловой центр,"50,000,000.00","47,284,352.00"
Покровское-Стрешнево,"48,300,000.00","48,300,000.00"
Давыдково,"48,879,684.42","49,001,134.02"
Маяковская,"46,503,715.84","49,686,265.15"
Фрунзенская,"33,200,000.00","50,000,000.00"
Ленинский проспект,"24,453,483.33","50,000,000.00"
Трубная,"44,500,000.00",
Третьяковская,"37,900,000.00",
Воронцовская,"35,000,000.00",
Полянка,"30,300,000.00",
Электрозаводская,"25,000,000.00",
Красные ворота,"22,792,500.00",
Мякинино,"21,196,666.67",
Москворечье,"20,000,000.00",
Зюзино,"19,466,666.67",
Баковка,"19,133,333.33",
Кузьминки,"18,041,000.00",
Верхние Лихоборы,"17,941,373.24",
Окская,"15,999,000.00",
Коньково,"15,500,000.00",
Семёновская,"15,500,000.00",
Измайлово,"15,425,000.00",
Орехово,"14,300,000.00",
Покровское,"13,700,000.00",
Тёплый Стан,"13,500,000.00",
Тимирязевская,"12,499,000.00",
Калитники,"12,187,500.00",
Выхино,"11,500,000.00",
Рязанский проспект,"10,550,000.00",
Алма-Атинская,"10,400,000.00",
Нижегородская,,
